DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-18@23:03:45.|186.0|1|22|171580431,171580688|6|CNCRCANZ51G|29|9457|17609
2016-02-18@23:06:28.|73.0|1|22|171580431,171579408,171580431|6|CNCRCANZ11G|29|93166|794630
2016-02-18@23:09:48.|15.0|1|22|171580431|6|CNCRCANZ11G|29|0|0
2016-02-18@23:01:41.|69.0|1|22|171579408,171580688,171579408,171580431,171579408,171580431,171579408,171580431|6|CNCRCANZ12G|29|207673|2393507
2016-02-18@23:01:47.|149.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-18@23:02:59.|79.0|1|22|171580431|6|CNCRCANZ32G|29|6991|14216
2016-02-18@23:01:04.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:01:09.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:02:06.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:03:20.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:03:46.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:02:20.|82.0|1|22|171580431|6|CNCRCANZ51G|29|4398|9368
2016-02-18@23:04:08.|296.0|1|22|171580431,171535881,171580431|6|CNCRCANZ41G|29|22401|67165
2016-02-18@23:07:40.|22.0|1|22|171580431|6|CNCRCANZ51G|29|0|0
2016-02-18@23:03:55.|183.0|1|22|171579408,171580431,171580688,171579408|6|CNCRCANZ12G|29|5557|6172
2016-02-18@23:08:32.|366.0|1|19|171580431,171580688,171580689,171580687,171579664,171581968|6|CNCRCANZ12G|29|10802|10840
2016-02-18@23:01:24.|87.0|1|22|171579408,171580688,171579408,171580431,171579408|6|CNCRCANZ32G|29|115074|248293
2016-02-18@23:04:30.|405.0|1|22|171580432,171579151,171580432,171581711,171580431|6|CNCRCANZ51G|29|3488|5126
2016-02-18@23:09:24.|32.0|1|22|171580431|6|CNCRCANZ41G|29|33826|80519
2016-02-18@23:09:05.|51.0|1|0|171580431|6|CNCRCANZ11G|29|99258|191176
2016-02-18@23:05:46.|374.0|1|22|171580431,171579408,171694609|6|CNCRCANZ31G|29|17600|14384
2016-02-18@23:04:54.|139.0|1|22|171579408,171580431,171580688,171580431,171579408,171580688,171579408|6|CNCRCANZ32G|29|297790|4613495
2016-02-18@23:00:26.|285.0|1|22|171580431|6|CNCRCANZ11G|29|5915|86275
2016-02-18@23:07:15.|341.0|1|22|171580431,171579409|6|CNCRCANZ41G|29|61397|1576109
2016-02-18@23:01:51.|266.0|1|22|171580431,171580688,171580431,171673865,171580688,171580431,171580688|6|CNCRCANZ12G|29|17670|22795
2016-02-18@23:01:51.|266.0|1|22|171580431|6|CNCRCANZ12G|29|0|0
2016-02-18@23:04:27.|618.0|1|16|171579408,171580431,171579408,171580431,171579408,171580431,171580688,171580431,172195857,171579151,171581711,171723280|6|CNCRCANZ11G|29|792597|19217203
2016-02-18@23:03:07.|401.0|1|19|171580688,171579408,171580688,171579408,171580688,171579408,171580431,171579408,171580431,171580688,171580431,171580688|6|CNCRCANZ41G|29|82531|197388
2016-02-18@23:00:48.|67.0|1|22|171580431|6|CNCRCANZ12G|29|116|285
2016-02-18@23:03:36.|119.0|1|22|171580431,171580688|6|CNCRCANZ12G|29|649|326
2016-02-18@23:04:02.|273.0|1|22|171580431|6|CNCRCANZ41G|29|0|0
2016-02-18@23:07:25.|333.0|1|22|171579408,171712783,171580431,171579408|6|CNCRCANZ32G|29|1238|977
2016-02-18@23:02:26.|11.0|1|22|171580431|6|CNCRCANZ11G|29|36249|863578
2016-02-18@23:09:33.|151.0|1|22|171580431|6|HSTNTXGW01-PGW|29|2074|5034
2016-02-18@23:03:45.|293.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-18@23:04:23.|649.0|1|19|171580431,171580688|6|HSTNTXGW01-PGW|29|0|3119
2016-02-18@23:01:59.|422.0|1|22|171579408,171580688,171580431|6|CNCRCANZ42G|29|144|72
2016-02-18@23:03:31.|16.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-18@23:01:28.|35.0|1|22|171580431|6|CNCRCANZ31G|29|1037|1623
2016-02-18@23:08:34.|139.0|1|22|171580431|6|CNCRCANZ31G|29|0|0
2016-02-18@23:05:07.|202.0|1|22|171580431|6|CNCRCANZ41G|29|7658|22945
2016-02-18@23:00:40.|334.0|1|22|171579408,171580688,171580431|6|CNCRCANZ32G|29|51977|112957
