% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.011	1	1	102	2	3	28	2196	0	0
1.012	1	7	102	3	32	20	1191	0	0
1.013	1	13	102	4	35	16	903	0	0
1.014	1	12	102	5	51	16	903	0	0
1.015	1	9	102	6	63	18	967	0	0
1.016	1	3	102	7	223	24	1620	0	0
1.017	1	15	102	8	19	14	775	0	0
1.018	1	16	102	9	34	14	775	0	0
1.019	1	4	102	10	259	22	1383	0	0
1.02	1	22	103	1	33	12	597	0	0
1.021	1	6	103	2	241	20	1191	0	0
1.022	1	5	103	3	304	22	1383	0	0
1.023	1	19	103	4	108	14	775	0	0
1.024	1	26	103	5	4	10	469	0	0
1.025	1	2	103	6	373	24	1620	0	0
1.026	1	25	103	7	18	10	469	0	0
1.027	1	24	103	8	96	12	597	0	0
1.028	1	33	103	9	1	8	421	0	0
1.029	1	36	103	10	2	8	421	0	0
1.03	1	31	104	1	52	10	469	0	0
1.031	1	11	104	2	302	16	903	0	0
1.032	1	23	104	3	166	12	597	0	0
1.033	1	10	104	4	331	18	967	0	0
1.034	1	17	104	5	261	14	775	0	0
1.035	1	18	104	6	280	14	775	0	0
1.036	1	39	104	7	97	8	421	0	0
1.037	1	14	104	8	316	14	775	0	0
1.038	1	34	104	9	143	8	421	0	0
1.039	1	8	104	10	389	18	967	0	0
1.04	1	20	105	1	281	12	597	0	0
1.041	1	48	105	2	62	6	309	0	0
1.042	1	43	105	3	64	6	309	0	0
1.043	1	44	105	4	82	6	309	0	0
1.044	1	35	105	5	199	8	421	0	0
1.045	1	50	105	6	95	6	309	0	0
1.046	1	21	105	7	345	12	597	0	0
1.047	1	32	105	8	242	8	421	0	0
1.048	1	42	105	9	260	8	421	0	0
1.049	1	49	105	10	145	6	309	0	0
1.05	1	29	106	1	317	10	469	0	0
1.051	1	30	106	2	332	10	469	0	0
1.052	1	55	106	3	79	4	217	0	0
1.053	1	37	106	4	318	8	421	0	0
1.054	1	41	106	5	330	8	421	0	0
1.055	1	59	106	6	107	4	217	0	0
1.056	1	47	106	7	243	6	309	0	0
1.057	1	53	106	8	128	4	217	0	0
1.058	1	63	106	9	129	4	217	0	0
1.059	1	27	106	10	383	10	469	0	0
1.06	1	28	107	1	384	10	469	0	0
1.061	1	40	107	2	359	8	421	0	0
1.062	1	75	107	3	20	2	133	0	0
1.063	1	71	107	4	21	2	133	0	0
1.064	1	38	107	5	375	8	421	0	0
1.065	1	51	107	6	282	6	309	0	0
1.066	1	54	107	7	182	4	217	0	0
1.067	1	56	107	8	185	4	217	0	0
1.068	1	60	107	9	201	4	217	0	0
1.069	1	61	107	10	202	4	217	0	0
1.07	1	52	108	1	225	4	217	0	0
1.071	1	62	108	2	244	4	217	0	0
1.072	1	46	108	3	374	6	309	0	0
1.073	1	76	108	4	142	2	133	0	0
1.074	1	45	108	5	391	6	309	0	0
1.075	1	73	108	6	164	2	133	0	0
1.076	1	74	108	7	167	2	133	0	0
1.077	1	64	108	8	333	4	217	0	0
1.078	1	70	108	9	183	2	133	0	0
1.079	1	57	108	10	343	4	217	0	0
1.08	1	58	109	1	346	4	217	0	0
1.081	1	72	109	2	200	2	133	0	0
1.082	1	78	109	3	222	2	133	0	0
1.083	1	67	109	4	258	2	133	0	0
1.084	1	77	109	5	279	2	133	0	0
1.085	1	100	109	6	50	0	81	0	0
1.086	1	99	109	7	53	0	81	0	0
1.087	1	68	109	8	301	2	133	0	0
1.088	1	88	109	9	65	0	81	0	0
1.089	1	97	109	10	80	0	81	0	0
1.09	1	85	110	1	81	0	81	0	0
1.091	1	96	110	2	98	0	81	0	0
1.092	1	79	110	3	344	2	133	0	0
1.093	1	95	110	4	106	0	81	0	0
1.094	1	80	110	5	109	0	81	0	0
1.095	1	89	110	6	127	0	81	0	0
1.096	1	66	110	7	372	2	133	0	0
1.097	1	86	110	8	144	0	81	0	0
1.098	1	69	110	9	381	2	133	0	0
1.099	1	91	110	10	165	0	81	0	0
1.1	1	65	111	1	388	2	133	0	0
1.101	1	92	111	2	184	0	81	0	0
1.102	1	98	111	3	224	0	81	0	0
1.103	1	83	111	4	303	0	81	0	0
1.104	1	87	111	5	315	0	81	0	0
1.105	1	84	111	6	360	0	81	0	0
1.106	1	93	111	7	361	0	81	0	0
1.107	1	81	111	8	362	0	81	0	0
1.108	1	90	111	9	382	0	81	0	0
1.109	1	94	111	10	390	0	81	0	0
1.11	1	82	112	1	393	0	81	0	0
1.111	1	1	112	2	3	28	2196	0	0
1.112	1	13	112	3	35	16	903	0	0
1.113	1	7	112	4	32	20	1191	0	0
1.114	1	12	112	5	51	16	903	0	0
1.115	1	9	112	6	63	18	967	0	0
1.116	1	3	112	7	223	24	1620	0	0
1.117	1	4	112	8	259	22	1383	0	0
1.118	1	15	112	9	19	14	775	0	0
1.119	1	6	112	10	241	20	1191	0	0
1.12	1	16	113	1	34	14	775	0	0
1.121	1	5	113	2	304	22	1383	0	0
1.122	1	22	113	3	33	12	597	0	0
1.123	1	2	113	4	373	24	1620	0	0
1.124	1	19	113	5	108	14	775	0	0
1.125	1	26	113	6	4	10	469	0	0
1.126	1	11	113	7	302	16	903	0	0
1.127	1	25	113	8	18	10	469	0	0
1.128	1	24	113	9	96	12	597	0	0
1.129	1	10	113	10	331	18	967	0	0
1.13	1	31	114	1	52	10	469	0	0
1.131	1	33	114	2	1	8	421	0	0
1.132	1	23	114	3	166	12	597	0	0
1.133	1	36	114	4	2	8	421	0	0
1.134	1	17	114	5	261	14	775	0	0
1.135	1	18	114	6	280	14	775	0	0
1.136	1	8	114	7	389	18	967	0	0
1.137	1	14	114	8	316	14	775	0	0
1.138	1	39	114	9	97	8	421	0	0
1.139	1	20	114	10	281	12	597	0	0
1.14	1	34	115	1	143	8	421	0	0
1.141	1	21	115	2	345	12	597	0	0
1.142	1	35	115	3	199	8	421	0	0
1.143	1	29	115	4	317	10	469	0	0
1.144	1	32	115	5	242	8	421	0	0
1.145	1	30	115	6	332	10	469	0	0
1.146	1	48	115	7	62	6	309	0	0
1.147	1	42	115	8	260	8	421	0	0
1.148	1	43	115	9	64	6	309	0	0
1.149	1	44	115	10	82	6	309	0	0
1.15	1	50	116	1	95	6	309	0	0
1.151	1	37	116	2	318	8	421	0	0
1.152	1	41	116	3	330	8	421	0	0
1.153	1	27	116	4	383	10	469	0	0
1.154	1	49	116	5	145	6	309	0	0
1.155	1	28	116	6	384	10	469	0	0
1.156	1	40	116	7	359	8	421	0	0
1.157	1	55	116	8	79	4	217	0	0
1.158	1	47	116	9	243	6	309	0	0
1.159	1	38	116	10	375	8	421	0	0
1.16	1	53	117	1	128	4	217	0	0
1.161	1	1	117	2	3	28	2196	0	0
1.162	1	13	117	3	35	16	903	0	0
1.163	1	12	117	4	51	16	903	0	0
1.164	1	7	117	5	32	20	1191	0	0
1.165	1	9	117	6	63	18	967	0	0
1.166	1	3	117	7	223	24	1620	0	0
1.167	1	4	117	8	259	22	1383	0	0
1.168	1	6	117	9	241	20	1191	0	0
1.169	1	5	117	10	304	22	1383	0	0
